path,toolid,TP,FP,FN,TN,total_rows
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\gas\CallGas_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\gas\CallGas_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\gas\CallGas_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\gas\CallGas_ree1,vandal,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\guard\block-number\Block_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\guard\block-number\Block_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\guard\block-number\Block_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\guard\block-number\Block_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\guard\block-number\Block_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\guard\block-number\Block_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\guard\block-number\Block_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\guard\mutex\multi-flag\mod\MutexesMod_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\guard\mutex\multi-flag\mod\MutexesMod_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\guard\mutex\multi-flag\mod\MutexesMod_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\guard\mutex\multi-flag\mod\MutexesMod_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\guard\mutex\multi-flag\mod\MutexesMod_ree1,securify,0,0,1,0,1
